pair_id,block,source_collection,source_url,image_url,local_image_path,image_release_status,can_redistribute_image,source_side_retrieval_required,embedded_review_only,license_label,license_url,rights_statement,attribution_text,metadata_license,critique_license,last_checked_date,rights_notes
PAIR_00001,chinese,unknown,,,"images/chinese/清_溥儒_四时山水图册_页_浅绛,山水_山,页_浅绛,山水_山,岩壁,悬崖,峭壁,松柏类,松树,人物_e89f72aa.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,溥儒,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00005,chinese,unknown,,,"images/chinese/清_溥儒_四时山水图册_页_浅绛,山水_河流,瀑布,松柏类,松树,岩壁,峭壁,石头,石头,草本植物,_0c4c1213.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,溥儒,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00007,chinese,unknown,,,"images/chinese/清_溥儒_山水_扇面_浅绛,山水_树林,树,草丛,人,两人,溪水,山,字,印章 _  _  _ _7facde22.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,溥儒,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00010,chinese,unknown,,,"images/chinese/清_溥儒_花哇 _页_工笔,花鸟_花,文字,印章_绢本_106cmX55cm _ _41ff41dc.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,溥儒,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00012,chinese,unknown,,,"images/chinese/清_溥儒_四时山水图册_页_浅绛,山水_山,页_浅绛,山水_山,草本植物,地被植物,树,树林,树枝,_4ebbb0fa.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,溥儒,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00015,chinese,unknown,,,"images/chinese/清_溥儒_四时山水图册_页_浅绛,山水_山,高页_浅绛,山水_山,房屋,房屋,松柏类,松树,草本植物_95f9f025.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,溥儒,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00018,chinese,unknown,,,"images/chinese/清_溥儒_四时山水图册_页_浅绛,山水_岩壁-峭壁,悬崖,草本植物,地被植物,人物,行人,文字,题款_45496a26.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,溥儒,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00020,chinese,unknown,,,"images/chinese/明_陈淳_花卉图_页_没骨,花鸟_盛开花,红花,树叶,白花,树枝,印章_纸本_ _ _01460c30.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,陈淳,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00022,chinese,unknown,,,"images/chinese/明_陈淳_花卉图_页_没骨,花鸟_石头,盛开花,红花,白花,树叶,树枝,印章_纸本_ _ _2d11fbf2.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,陈淳,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00024,chinese,unknown,,,"images/chinese/明_陈淳_花卉图_页_没骨,花鸟_牵牛花,盛开花,蓝花,树叶,树枝,红花,草,印章_纸本_ _ _7fa841f2.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,陈淳,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00026,chinese,unknown,,,"images/chinese/明_陈淳_花卉图_页_没骨,花鸟_绣球花,盛开花,白花,粉花,树叶,树枝,印章_纸本_ _ _b14c9e91.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,陈淳,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00028,chinese,unknown,,,"images/chinese/明_陈淳_花卉扇面_扇面_没骨,花鸟_盛开花,粉花,白花,树叶,树枝,文字,印章_纸本_ _ _859c5078.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,陈淳,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00031,chinese,unknown,,,"images/chinese/元_吴镇_花鸟册_双页_没骨,花鸟_竹,竹叶,竹节,文字,印章_纸本_ _ _8463c7be.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,吴镇,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00036,chinese,unknown,,,"images/chinese/元_吴镇_花鸟册_双页_没骨,花鸟_文字,竹节,竹叶,印章,文字_纸本_ _ _81deb249.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,吴镇,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00038,chinese,unknown,,,"images/chinese/元_吴镇_花鸟册_双页_没骨,花鸟_竹节,竹,文字,印章_纸本_ _ _1df502a3.jpg",embedded_review_only,false,false,true,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,吴镇,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00043,chinese,unknown,,,"images/chinese/元_吴镇_花鸟册_双页_没骨,花鸟_竹,竹节,石头,草,文字,印章_纸本_ _ _2c41071e.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,吴镇,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00044,chinese,unknown,,,"images/chinese/清_高岑_古代景观册_页_浅绛,山水_山,石头,树,树林,树叶,树枝,古树,枯树,水,湖泊,雾气,云_5e96b2b6.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,高岑,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00046,chinese,unknown,,,"images/chinese/清_龚贤_山水册_页_水墨,山水_山,树,印章_纸本_ _ __ffc20a90.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,龚贤,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00052,chinese,unknown,,,"images/chinese/清_高岑_古代景观册_页_水墨,山水_山,石头,树,树林,树叶,树枝,古树,枯树,雾气,云,云朵,石_3a400b59.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,高岑,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00055,chinese,unknown,,,"images/chinese/清_高岑_古代景观册_页_浅绛,山水_山,石头,树,树叶,树枝,古树,水,雾气,云_纸本_ _页__f3262b7c.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,高岑,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00061,chinese,unknown,,,"images/chinese/清_高岑_古代景观册_页_浅绛,山水_山,树,树叶,树枝,古树,云,建筑,房子,柱子,瓦片,门窗,台_3599e192.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,高岑,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00064,chinese,unknown,,,"images/chinese/清_王武_花卉册_页_没骨,花鸟_花枝,花,树枝,叶子,草,草地,石头,虫子,飞虫,绿叶,绿叶,文字_d3c27457.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,王武,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00067,chinese,beijing_palace_museum,,,"images/chinese/清_王武_花竹栖禽图_页_没骨,花鸟_花竹、禽鸟_纸本_79.8cmX40.5cm_北京故宫博物院_96bb6535.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,王武,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00074,chinese,unknown,,,"images/chinese/清_王武_花卉册_页_没骨,花鸟_紫花,粉花,花朵,石头,叶子,花枝,虫子,飞虫,文字,印章 _  _05139b6c.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,王武,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
PAIR_00076,chinese,unknown,,,"images/chinese/清_任熊_十万图册_页_青绿,山水_山群,树林,花,木桥,溪流,印章,文字页_浅绛,山水_山群,树林_3a566b6a.jpg",source_side_retrieval,false,true,false,source_specific_not_relicensed,,Image rights remain source-specific; this manifest does not relicense source images.,任熊,CC BY 4.0,CC BY 4.0,2026-05-24,generated_from_available_bench_metadata; source_url/image_url may be blank when absent from canonical record
